Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 
0	 853.87	 0	 -300	 780	 0	 -247.491	 702.88	 0	 -199.918	 622.601	 0	 -157.929	 539.371	 0	 -122.176	 453.503	 0	 -93.364	 365.456	 0	 -72.1614	 275.855	 0	 -59.0311	 185.427	 0	 -54.2367	 94.9474	 0	 -57.9148	 5.2	 0	 -70	 
0.04	 853.87	 0	 -300	 780.001	 0	 -247.491	 702.881	 0	 -199.918	 622.601	 0	 -157.928	 539.371	 0	 -122.177	 453.503	 0	 -93.3646	 365.456	 0	 -72.1622	 275.855	 0	 -59.0311	 185.427	 0	 -54.236	 94.9474	 0	 -57.9143	 5.2	 0	 -70	 
0.08	 853.87	 0	 -300	 780.001	 0	 -247.491	 702.881	 0	 -199.917	 622.602	 0	 -157.928	 539.371	 0	 -122.178	 453.503	 0	 -93.3654	 365.456	 0	 -72.163	 275.855	 0	 -59.0311	 185.427	 0	 -54.2352	 94.9473	 0	 -57.9139	 5.2	 0	 -70	 
0.12	 853.87	 0	 -300	 780.001	 0	 -247.491	 702.882	 0	 -199.916	 622.602	 0	 -157.928	 539.371	 0	 -122.178	 453.503	 0	 -93.3661	 365.456	 0	 -72.1638	 275.855	 0	 -59.031	 185.427	 0	 -54.2345	 94.9472	 0	 -57.9135	 5.2	 0	 -70.0004	 
0.16	 853.87	 0	 -300	 780.001	 0	 -247.491	 702.882	 0	 -199.916	 622.602	 0	 -157.927	 539.37	 0	 -122.179	 453.503	 0	 -93.3669	 365.455	 0	 -72.1646	 275.855	 0	 -59.031	 185.427	 0	 -54.2337	 94.9471	 0	 -57.9131	 5.2	 0	 -70.0011	 
0.2	 853.87	 0	 -300	 780.001	 0	 -247.49	 702.882	 0	 -199.915	 622.602	 0	 -157.927	 539.37	 0	 -122.179	 453.502	 0	 -93.3678	 365.455	 0	 -72.1654	 275.855	 0	 -59.0309	 185.427	 0	 -54.2329	 94.947	 0	 -57.9127	 5.2	 0	 -70.0021	 
0.24	 853.87	 0	 -300	 780.001	 0	 -247.49	 702.883	 0	 -199.915	 622.603	 0	 -157.926	 539.37	 0	 -122.18	 453.502	 0	 -93.3687	 365.455	 0	 -72.1662	 275.855	 0	 -59.0307	 185.427	 0	 -54.232	 94.9468	 0	 -57.9123	 5.2	 0	 -70.0032	 
0.28	 853.87	 0	 -300	 780.001	 0	 -247.49	 702.883	 0	 -199.914	 622.603	 0	 -157.926	 539.37	 0	 -122.181	 453.502	 0	 -93.3696	 365.455	 0	 -72.1671	 275.854	 0	 -59.0305	 185.427	 0	 -54.2312	 94.9466	 0	 -57.9119	 5.2	 0	 -70.0046	 
0.32	 853.87	 0	 -300	 780.002	 0	 -247.49	 702.883	 0	 -199.913	 622.603	 0	 -157.926	 539.37	 0	 -122.181	 453.501	 0	 -93.3706	 365.454	 0	 -72.1679	 275.854	 0	 -59.0304	 185.426	 0	 -54.2304	 94.9464	 0	 -57.9116	 5.2	 0	 -70.0062	 
0.36	 853.87	 0	 -300	 780.002	 0	 -247.49	 702.884	 0	 -199.913	 622.603	 0	 -157.925	 539.369	 0	 -122.182	 453.501	 0	 -93.3716	 365.454	 0	 -72.1688	 275.854	 0	 -59.0301	 185.426	 0	 -54.2295	 94.9461	 0	 -57.9113	 5.2	 0	 -70.008	 
0.4	 853.87	 0	 -300	 780.002	 0	 -247.489	 702.884	 0	 -199.912	 622.604	 0	 -157.925	 539.369	 0	 -122.182	 453.5	 0	 -93.3727	 365.453	 0	 -72.1697	 275.854	 0	 -59.0299	 185.426	 0	 -54.2287	 94.9459	 0	 -57.9109	 5.2	 0	 -70.0099	 
0.44	 853.87	 0	 -300	 780.002	 0	 -247.489	 702.884	 0	 -199.912	 622.604	 0	 -157.924	 539.369	 0	 -122.183	 453.5	 0	 -93.3739	 365.453	 0	 -72.1706	 275.853	 0	 -59.0296	 185.426	 0	 -54.2278	 94.9456	 0	 -57.9107	 5.2	 0	 -70.012	 
0.48	 853.87	 0	 -300	 780.002	 0	 -247.489	 702.885	 0	 -199.911	 622.604	 0	 -157.923	 539.369	 0	 -122.184	 453.5	 0	 -93.3751	 365.452	 0	 -72.1716	 275.853	 0	 -59.0293	 185.425	 0	 -54.227	 94.9453	 0	 -57.9104	 5.2	 0	 -70.0142	 
0.52	 853.87	 0	 -300	 780.002	 0	 -247.489	 702.885	 0	 -199.91	 622.604	 0	 -157.923	 539.368	 0	 -122.184	 453.499	 0	 -93.3763	 365.452	 0	 -72.1725	 275.853	 0	 -59.029	 185.425	 0	 -54.2262	 94.9449	 0	 -57.9102	 5.2	 0	 -70.0166	 
0.56	 853.87	 0	 -300	 780.002	 0	 -247.488	 702.885	 0	 -199.91	 622.605	 0	 -157.922	 539.368	 0	 -122.185	 453.499	 0	 -93.3776	 365.452	 0	 -72.1735	 275.852	 0	 -59.0287	 185.425	 0	 -54.2253	 94.9446	 0	 -57.9099	 5.2	 0	 -70.019	 
0.6	 853.87	 0	 -300	 780.002	 0	 -247.488	 702.886	 0	 -199.909	 622.605	 0	 -157.922	 539.368	 0	 -122.185	 453.498	 0	 -93.3789	 365.451	 0	 -72.1745	 275.852	 0	 -59.0283	 185.424	 0	 -54.2245	 94.9443	 0	 -57.9098	 5.2	 0	 -70.0216	 
0.64	 853.87	 0	 -300	 780.002	 0	 -247.488	 702.886	 0	 -199.909	 622.605	 0	 -157.921	 539.368	 0	 -122.186	 453.497	 0	 -93.3803	 365.451	 0	 -72.1755	 275.852	 0	 -59.028	 185.424	 0	 -54.2236	 94.9439	 0	 -57.9096	 5.2	 0	 -70.0242	 
0.68	 853.87	 0	 -300	 780.003	 0	 -247.488	 702.886	 0	 -199.908	 622.606	 0	 -157.921	 539.367	 0	 -122.187	 453.497	 0	 -93.3818	 365.45	 0	 -72.1765	 275.851	 0	 -59.0276	 185.424	 0	 -54.2228	 94.9436	 0	 -57.9095	 5.2	 0	 -70.0268	 
0.72	 853.87	 0	 -300	 780.003	 0	 -247.488	 702.886	 0	 -199.908	 622.606	 0	 -157.92	 539.367	 0	 -122.187	 453.496	 0	 -93.3833	 365.449	 0	 -72.1776	 275.851	 0	 -59.0272	 185.423	 0	 -54.222	 94.9432	 0	 -57.9094	 5.2	 0	 -70.0295	 
0.76	 853.87	 0	 -300	 780.003	 0	 -247.488	 702.887	 0	 -199.907	 622.606	 0	 -157.919	 539.367	 0	 -122.188	 453.496	 0	 -93.3848	 365.449	 0	 -72.1786	 275.851	 0	 -59.0268	 185.423	 0	 -54.2212	 94.9429	 0	 -57.9094	 5.2	 0	 -70.0323	 
0.8	 853.87	 0	 -300	 780.003	 0	 -247.487	 702.887	 0	 -199.907	 622.606	 0	 -157.919	 539.367	 0	 -122.188	 453.495	 0	 -93.3864	 365.448	 0	 -72.1797	 275.85	 0	 -59.0264	 185.423	 0	 -54.2204	 94.9425	 0	 -57.9094	 5.2	 0	 -70.035	 
0.84	 853.87	 0	 -300	 780.003	 0	 -247.487	 702.887	 0	 -199.906	 622.607	 0	 -157.918	 539.366	 0	 -122.189	 453.494	 0	 -93.3881	 365.448	 0	 -72.1808	 275.85	 0	 -59.026	 185.422	 0	 -54.2196	 94.9422	 0	 -57.9095	 5.2	 0	 -70.0378	 
0.88	 853.87	 0	 -300	 780.003	 0	 -247.487	 702.888	 0	 -199.906	 622.607	 0	 -157.917	 539.366	 0	 -122.19	 453.494	 0	 -93.3897	 365.447	 0	 -72.1819	 275.85	 0	 -59.0256	 185.422	 0	 -54.2188	 94.9418	 0	 -57.9096	 5.2	 0	 -70.0406	 
0.92	 853.87	 0	 -300	 780.003	 0	 -247.487	 702.888	 0	 -199.905	 622.607	 0	 -157.917	 539.366	 0	 -122.19	 453.493	 0	 -93.3915	 365.447	 0	 -72.1831	 275.849	 0	 -59.0252	 185.421	 0	 -54.2181	 94.9415	 0	 -57.9097	 5.2	 0	 -70.0433	 
0.96	 853.87	 0	 -300	 780.003	 0	 -247.487	 702.888	 0	 -199.905	 622.607	 0	 -157.916	 539.365	 0	 -122.191	 453.492	 0	 -93.3932	 365.446	 0	 -72.1842	 275.849	 0	 -59.0247	 185.421	 0	 -54.2173	 94.9412	 0	 -57.9099	 5.2	 0	 -70.0461	 
1	 853.87	 0	 -300	 780.003	 0	 -247.487	 702.888	 0	 -199.904	 622.608	 0	 -157.916	 539.365	 0	 -122.191	 453.492	 0	 -93.3951	 365.446	 0	 -72.1854	 275.849	 0	 -59.0243	 185.421	 0	 -54.2166	 94.9409	 0	 -57.9101	 5.2	 0	 -70.0488	 
1.04	 853.87	 0	 -300	 780.003	 0	 -247.486	 702.889	 0	 -199.904	 622.608	 0	 -157.915	 539.365	 0	 -122.192	 453.491	 0	 -93.3969	 365.445	 0	 -72.1866	 275.848	 0	 -59.0239	 185.42	 0	 -54.2159	 94.9405	 0	 -57.9104	 5.2	 0	 -70.0514	 
1.08	 853.87	 0	 -300	 780.003	 0	 -247.486	 702.889	 0	 -199.903	 622.608	 0	 -157.914	 539.365	 0	 -122.193	 453.49	 0	 -93.3988	 365.445	 0	 -72.1877	 275.848	 0	 -59.0234	 185.42	 0	 -54.2152	 94.9402	 0	 -57.9107	 5.2	 0	 -70.054	 
1.12	 853.87	 0	 -300	 780.003	 0	 -247.486	 702.889	 0	 -199.903	 622.609	 0	 -157.914	 539.364	 0	 -122.193	 453.489	 0	 -93.4007	 365.444	 0	 -72.189	 275.848	 0	 -59.023	 185.42	 0	 -54.2146	 94.94	 0	 -57.9111	 5.2	 0	 -70.0566	 
1.16	 853.87	 0	 -300	 780.004	 0	 -247.486	 702.889	 0	 -199.902	 622.609	 0	 -157.913	 539.364	 0	 -122.194	 453.489	 0	 -93.4027	 365.443	 0	 -72.1902	 275.847	 0	 -59.0226	 185.419	 0	 -54.2139	 94.9397	 0	 -57.9116	 5.2	 0	 -70.0591	 
