Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 
(s)	 (N)     	 (N)     	 (N)     	 
0	 745390	 742244	 742244	 
0.01	 745392	 742246	 742246	 
0.02	 745391	 742245	 742245	 
0.03	 745461	 742315	 742315	 
0.04	 745507	 742360	 742360	 
0.05	 745544	 742397	 742397	 
0.06	 745576	 742429	 742429	 
0.07	 745605	 742458	 742458	 
0.08	 745632	 742485	 742485	 
0.09	 745657	 742510	 742510	 
0.1	 745681	 742533	 742533	 
0.11	 745703	 742556	 742556	 
0.12	 745725	 742577	 742577	 
0.13	 745747	 742598	 742598	 
0.14	 745767	 742619	 742619	 
0.15	 745788	 742639	 742639	 
0.16	 745808	 742659	 742659	 
0.17	 745828	 742679	 742679	 
0.18	 745848	 742698	 742698	 
0.19	 745867	 742718	 742718	 
0.2	 745887	 742737	 742737	 
0.21	 745906	 742756	 742756	 
0.22	 745925	 742775	 742775	 
0.23	 745945	 742794	 742794	 
0.24	 745964	 742813	 742813	 
0.25	 745983	 742832	 742832	 
0.26	 746002	 742851	 742851	 
0.27	 746021	 742870	 742870	 
0.28	 746040	 742888	 742888	 
0.29	 746059	 742907	 742907	 
0.3	 746078	 742926	 742926	 
0.31	 746097	 742944	 742944	 
0.32	 746115	 742963	 742963	 
0.33	 746134	 742981	 742981	 
0.34	 746152	 742999	 742999	 
0.35	 746171	 743017	 743017	 
0.36	 746189	 743035	 743035	 
0.37	 746208	 743053	 743053	 
0.38	 746226	 743071	 743071	 
0.39	 746244	 743089	 743089	 
0.4	 746262	 743106	 743106	 
0.41	 746279	 743124	 743124	 
0.42	 746297	 743141	 743141	 
0.43	 746314	 743158	 743158	 
0.44	 746332	 743175	 743175	 
0.45	 746349	 743192	 743192	 
0.46	 746366	 743209	 743209	 
0.47	 746382	 743225	 743225	 
0.48	 746399	 743241	 743241	 
0.49	 746415	 743257	 743257	 
0.5	 746431	 743273	 743273	 
0.51	 746447	 743289	 743289	 
0.52	 746463	 743304	 743304	 
0.53	 746478	 743319	 743319	 
0.54	 746494	 743334	 743334	 
0.55	 746509	 743349	 743349	 
0.56	 746523	 743363	 743363	 
0.57	 746538	 743377	 743377	 
0.58	 746552	 743391	 743391	 
0.59	 746566	 743405	 743405	 
0.6	 746579	 743418	 743418	 
0.61	 746593	 743431	 743431	 
0.62	 746606	 743444	 743444	 
0.63	 746619	 743456	 743456	 
0.64	 746631	 743468	 743468	 
0.65	 746643	 743480	 743480	 
0.66	 746655	 743491	 743491	 
0.67	 746666	 743502	 743502	 
0.68	 746678	 743513	 743513	 
0.69	 746688	 743524	 743524	 
0.7	 746699	 743534	 743534	 
0.71	 746709	 743544	 743544	 
0.72	 746719	 743553	 743553	 
0.73	 746728	 743562	 743562	 
0.74	 746737	 743571	 743571	 
0.75	 746746	 743579	 743579	 
0.76	 746754	 743587	 743587	 
0.77	 746762	 743595	 743595	 
0.78	 746769	 743602	 743602	 
0.79	 746776	 743609	 743609	 
0.8	 746783	 743615	 743615	 
0.81	 746789	 743621	 743621	 
0.82	 746795	 743627	 743627	 
0.83	 746801	 743632	 743632	 
0.84	 746806	 743637	 743637	 
0.85	 746811	 743641	 743641	 
0.86	 746815	 743645	 743645	 
0.87	 746819	 743649	 743649	 
0.88	 746822	 743652	 743652	 
0.89	 746825	 743654	 743654	 
0.9	 746828	 743657	 743657	 
0.91	 746830	 743658	 743658	 
0.92	 746831	 743660	 743660	 
0.93	 746833	 743661	 743661	 
0.94	 746833	 743661	 743661	 
0.95	 746834	 743661	 743661	 
0.96	 746834	 743661	 743661	 
0.97	 746833	 743660	 743660	 
0.98	 746832	 743659	 743659	 
0.99	 746830	 743657	 743657	 
1	 746828	 743655	 743655	 
1.01	 746826	 743652	 743652	 
1.02	 746823	 743649	 743649	 
1.03	 746820	 743646	 743646	 
1.04	 746816	 743642	 743642	 
1.05	 746812	 743637	 743637	 
